10 13
51 19 37
54 99 65
11 86 67
98 72 100
28 10 3
47 80 49
88 85 41
98 23 60
73 30 14
96 15 88
7 6 4
4 2 3
9 10 4
9 4 3
9 6 5
5 6 2
4 9 7
6 2 4
9 10 1
4 10 3
9 5 1
10 8 9
6 9 7
3 1
24 62 58
98 85 12
56 76 4
2 1 3
9 10
87 5 71
86 13 36
24 79 100
29 99 49
35 35 68
44 47 36
5 2 18
83 54 83
68 43 61
5 4 2
6 2 5
1 5 3
2 5 9
5 9 3
7 5 6
4 9 5
6 4 7
7 5 3
5 3 8
10 2
90 97 96
50 68 47
8 61 13
66 66 83
47 27 95
36 50 73
86 41 94
26 79 8
58 24 97
5 16 66
8 4 1
2 9 1
9 5
52 99 66
26 27 15
42 35 60
87 49 90
56 36 28
63 67 100
83 42 32
50 35 26
79 88 97
8 4 5
6 8 4
1 9 4
1 4 7
4 2 3
10 1
50 2 39
66 51 87
13 93 14
7 82 44
14 56 87
64 43 33
97 30 73
12 6 99
17 13 25
17 89 87
3 4 5
3 1
39 83 41
6 1 35
3 99 78
3 2 1
10 12
57 58 45
49 68 94
40 23 51
84 86 36
89 33 33
97 68 1
8 91 59
20 95 47
32 37 15
94 85 73
3 1 2
9 8 3
6 9 8
4 9 1
6 1 4
3 10 6
4 6 3
2 8 1
8 2 7
4 6 2
4 9 6
3 4 2
6 7
13 64 43
97 46 37
45 54 38
3 10 76
9 93 2
8 38 52
6 4 1
6 5 1
5 2 1
1 2 3
4 2 3
4 2 6
2 5 3
10 13
43 41 47
44 30 70
98 12 16
54 27 92
72 27 45
87 40 41
95 55 41
19 100 47
11 83 19
5 4 40
9 8 5
4 2 6
5 10 9
6 3 7
3 5 8
2 8 1
5 2 8
7 5 6
8 10 9
4 6 7
7 6 8
8 2 4
10 2 1
5 5
38 9 50
96 81 90
49 43 26
26 68 80
2 57 70
2 1 5
2 3 1
2 4 5
5 3 2
3 1 5
5 5
92 50 35
40 6 85
62 66 42
15 84 14
77 13 92
2 5 4
2 1 5
4 1 5
4 3 1
3 5 1
5 5
93 78 48
37 33 24
80 43 58
1 59 26
24 98 60
5 1 3
4 3 1
3 1 2
1 2 4
5 3 4
5 5
81 36 47
75 76 58
92 76 93
42 45 59
32 6 10
2 3 5
3 4 5
5 1 2
1 3 4
5 3 1
5 3
77 80 78
82 42 67
66 71 17
18 29 87
57 21 73
2 3 4
3 5 4
1 4 3
5 4
81 100 84
14 84 93
51 58 18
77 15 100
71 93 41
3 2 5
4 2 3
4 5 3
3 5 1
5 3
57 15 82
31 52 33
68 23 52
43 81 68
68 88 58
4 1 2
2 4 5
4 5 3
5 5
53 69 91
90 87 39
58 3 6
97 64 82
7 38 67
5 3 1
5 4 1
2 3 1
4 3 2
5 3 2
5 7
43 47 42
60 61 91
26 47 83
52 53 60
90 62 68
2 5 4
5 3 1
3 1 2
4 5 1
4 1 3
2 1 4
2 4 3
5 5
32 61 25
58 15 60
48 31 79
85 91 29
79 29 68
4 1 3
4 2 5
5 4 3
3 2 1
2 1 4
5 5
70 42 16
46 54 30
84 16 44
32 45 69
87 85 33
5 3 1
3 1 2
4 3 1
2 4 3
4 2 1
5 7
91 57 37
34 63 25
49 55 93
64 71 74
96 26 50
5 4 3
1 5 4
1 5 2
1 5 3
3 2 5
2 1 4
4 2 3
5 3
30 53 9
87 82 3
25 34 20
19 29 38
64 28 5
4 3 2
4 1 3
2 1 3
5 5
8 13 17
41 24 52
81 36 41
94 73 92
57 33 100
1 5 3
3 2 5
5 2 1
2 3 1
4 3 1
5 6
70 4 32
24 68 48
71 83 68
58 97 44
99 38 56
2 5 4
1 5 4
4 5 3
2 4 3
5 2 1
5 3 2
5 6
53 64 4
57 74 38
5 18 83
100 5 98
30 5 53
3 2 5
3 4 5
5 2 1
1 5 4
2 3 1
4 3 2
5 6
89 68 62
84 21 99
44 65 74
52 23 88
49 83 34
2 1 4
2 1 5
2 5 4
3 2 4
3 2 1
1 3 5
5 3
94 85 41
69 57 26
54 18 75
28 1 85
53 46 61
2 1 3
2 4 5
5 1 3
5 6
37 60 93
46 15 23
91 98 11
75 11 66
19 82 9
4 5 2
1 5 3
3 4 1
4 1 2
3 4 5
5 1 2
5 6
72 14 16
65 70 68
18 60 42
1 50 69
98 39 59
5 4 1
2 1 3
1 5 3
3 1 4
2 3 4
4 2 5
5 4
92 50 30
71 91 33
72 25 61
44 35 47
54 29 33
1 5 3
3 2 5
1 2 5
2 3 1
5 7
15 40 47
67 67 84
36 99 60
52 26 36
44 63 62
1 2 4
1 4 5
3 1 5
2 3 5
3 4 1
1 2 3
3 4 5
5 4
57 76 45
74 59 15
90 69 59
95 9 100
44 68 41
5 1 2
3 4 2
5 1 4
5 4 2
5 5
19 78 82
62 8 39
86 92 97
11 100 80
69 23 41
5 4 3
2 1 5
3 5 2
1 3 4
2 3 1
5 4
32 88 12
62 24 57
81 41 67
61 6 66
54 65 53
2 5 4
4 1 5
4 3 2
3 5 4
5 7
77 76 86
44 77 65
74 99 23
4 5 82
95 73 13
5 4 3
1 2 3
1 2 4
5 4 2
1 3 5
3 2 4
5 4 1
5 4
48 12 36
29 17 67
91 89 93
88 12 56
64 20 83
4 1 2
4 5 2
2 5 1
3 5 1
5 4
97 13 29
13 48 75
33 79 38
50 83 97
70 93 1
3 2 1
1 3 4
5 1 4
5 3 4
5 4
35 94 4
10 83 8
87 31 43
48 22 14
8 48 37
3 4 1
5 2 3
2 3 1
5 3 4
5 3
38 28 44
44 100 100
76 98 40
15 8 53
33 77 17
1 4 3
2 4 1
4 3 2
5 5
77 62 55
5 18 36
27 83 47
85 62 25
10 42 55
2 4 3
5 1 4
3 2 5
2 5 4
1 5 2
5 6
92 36 24
3 79 50
16 61 65
53 1 100
9 37 79
5 3 1
2 3 1
2 1 5
2 3 5
1 4 5
1 4 3
5 7
77 4 29
53 73 47
54 66 20
2 42 82
99 62 74
5 3 1
5 4 2
2 3 5
4 1 5
4 5 3
2 3 4
3 4 1
5 6
68 80 73
91 89 63
96 62 7
53 82 59
58 61 98
5 2 1
3 5 2
3 2 4
3 1 2
1 5 4
2 1 4
5 5
72 23 47
2 94 81
24 7 68
32 98 36
14 45 3
